"ResultType","Message"
"26000","The provided access grant requires interaction."
"29200","QR Code requested. Generate QR code and display on UX page for interactive sign-ins."
"29201","Invalid QR Code request. Client Id ({clientId}) or target client Id ({targetClientId}) is invalid."
"29202","Invalid scope and response_type request parameters. scope=qrcode can only be used with response_type=none."
"29203","Invalid target_client_id '{targetClientId}' argument value."
"29204","Failed to write QR Code token to Store."
"29205","Generated QR Code string has exceeded maximum supported length."
"29206","Invalid QR Code redemption request. Client Id ({clientId}) is invalid."
"29207","Error processing session data. QR Code is either invalid or expired."
"29208","Error processing session data. QR Code was already redeemed."
"29210","QR Code sign-in is disabled via user credential policy."
"29211","QR Code sign-in is not supported for passthrough users."
"29212","QR Code sign-in is not supported for consumer user scenarios."
"40002","The identity provider returned an error. The status returned was '{status}' and the message was '{message}'."
"40003","A required token was not emitted by an external Identity Provider."
"40004","A required token was not emitted by an external Identity Provider."
"40005","Invalid token received from external Identity Provider. Current time: {curTime}, expiry time of assertion {expTime}."
"40008","There was an unexpected error from the external identity provider."
"40009","The identity provider returned an error."
"40010","The identity provider has failed with a transient error."
"40013","Social IDP MicroService Federation disabled."
"40014","Federated Identity Provider is unavailable."
"40015","The identity provider returned an error."
"40016","The Identity Provider returned an error."
"50000","There was an error issuing a token or an issue with our sign-in service."
"50001","The resource is disabled or the resource named could not be found. This can happen if the application has not been installed by the administrator of the tenant, or if the resource principal was not found in the directory or is invalid due to a typo."
"50002","This tenant isn't supported for this authentication method yet."
"50003","Certificate roll is in progress. Please retry the operation later."
"50004","A transient error has occurred. Please try again."
"50005","User tried to log in to a device from a platform ({platform}) that's currently not supported through Conditional Access policy. Supported device platforms are: iOS, Android, Mac, and Windows flavors."
"50006","Signature verification failed because of an invalid signature."
"50007","Encryption certificate was not found in the directory."
"50008","The SAML token is invalid."
"50010","Audience URI validation failed since no token audiences were configured."
"50011","The {redirectTerm} '{replyAddress}' specified in the request does not match the {redirectTerm}s configured for the application '{identifier}'. Make sure the {redirectTerm} sent in the request matches one added to your application in the Azure portal. Navigate to {akamsLink} to learn more about how to fix this. {detail}"
"50012","Authentication failed."
"50013","Assertion failed signature validation. Possibly because the token issuer doesn't match the API version within its valid time range, it's expired or malformed, or the refresh token in the assertion is not a primary refresh token."
"50014","The user's redemption is in a pending state. The guest user account is not fully created yet."
"50015","The user requires legal age group consent."
"50016","Invalid Argument Redirect ErrorCode value."
"50017","Validation of given certificate for certificate based authentication failed."
"50019","This occurred due to an interrupt to select a certificate before the user signs in."
"50020","User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50023","ClaimType '{claimType}' is reserved for system use."
"50024","Unable to decrypt client state."
"50025","The issuer name must be specified."
"50026","The mail is too long, maximum length is {length}."
"50027","JWT token is invalid or malformed."
"50029","The reply URI specified in the request contains invalid characters. Domain names of this form are not supported."
"50030","Either forwardableOnBehalfOfOriginsAcceptedAudiencesList or ForwardableOnBehalfOfOriginsAcceptedPrecedingAppsList property in the first party app registration is not set. Both fields need to be filled on first party app portal for PFT OBO to be successful."
"50032","RSA key size {actualSize} is less than the minimum required {minSize} bits."
"50033","A transient error has occurred. Please try again."
"50034","The user account {identifier} does not exist in the {tenant} directory. To sign into this application, the account must be added to the directory."
"50035","ECC key size {actualSize} is less than the minimum required {minSize} bits."
"50038","The API version isn't supported."
"50042","The salt required to generate a pairwise identifier is missing in the principal."
"50043","Unable to generate a pairwise identifier with more than one salt in principal."
"50045","The salt required to generate a pairwise identifier is malformed in principal."
"50048","Subject must match the issuer claim in the client assertion."
"50049","Unknown or invalid instance."
"50050","The request is malformed: invalid format for '{name}' value."
"50051","The root key endpoint is missing the root keys."
"50052","The password entered exceeds the maximum length. Please reach out to your admin to reset the password."
"50053","The account is locked, you've tried to sign in too many times with an incorrect user ID or password."
"50054","Looks like you entered your old password. Try again with your new one."
"50055","The password is expired."
"50056","Invalid or missing password: password does not exist in the directory for this user."
"50057","The user account is disabled."
"50058","Session information is not sufficient for single-sign-on."
"50059","No tenant-identifying information found in either the request or implied by any provided credentials."
"50060","Unable to sign out."
"50061","Unable to complete signout. The request was invalid."
"50062","Signout request is unauthorized."
"50068","Signout failed. The initiating application is not a participant in the current session."
"50069","Signout failed. The request specified a name identifier of '{identifier}' which did not match the existing session(s)."
"50070","Signout failed. The request specified session indexes '{identifier}' which did not match the existing session(s)."
"50071","Signout request has expired."
"50072","Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'."
"50074","Strong Authentication is required."
"50075","The tenant '{tenant}' does not have security defaults enabled."
"50076","Due to a configuration change made by your administrator, or because you moved to a new location, you must use multi-factor authentication to access '{resource}'."
"50077","The administrator created a conditional access policy that requires the authenticator to be used to provide GPS location."
"50078","Presented multi-factor authentication has expired due to policies configured by your administrator, you must refresh your multi-factor authentication to access '{resource}'."
"50079","Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'."
"50080","Bad request received."
"50081","The administrator created a conditional access policy that requires GPS location."
"50082","The partitioned token signing key endpoint is missing the partitioned token signing keys."
"50085","Refresh token needs a social identity provider login."
"50087","A transient error has occurred during strong authentication. Please try again."
"50088","Limit on telecom MFA calls reached. Please try again in a few minutes."
"50089","Authentication failed due to flow token expired."
"50091","Passed query string length exceeds supported limit."
"50093","Missing value for the SAML NameID."
"50094","Unknown source configured on the audience for the SAML NameID."
"50095","Unknown source configured on the audience for the SAML email claim."
"50096","Source configured on the audience for the SAML NameID is not compatible with the requested format."
"50097","Device authentication is required."
"50098","JWT body must contain '{field}'."
"50099","Invalid nonce."
"50100","There was an error transforming the claims for the token."
"50101","Unknown claims transformer '{name}' was specified for principal '{principalId}'."
"50102","Unable to load CustomClaimsTransformer '{type}' was specified for principal '{principalId}'."
"50103","There was an error transforming the claims for the token: {errorMessage}"
"50105","Your administrator has configured the application {appName} ('{appId}') to block users unless they are specifically granted ('assigned') access to the application.  The signed in user '{user}' is blocked because they are not a direct member of a group with access, nor had access directly assigned by an administrator. Please contact your administrator to assign access to this application."
"50107","The requested federation realm object '{name}' does not exist."
"50120","Unknown credential type, issue with the JWT header."
"50123","Unknown claims transformation method '{method}' was specified for principal '{principalId}'."
"50124","Invalid regular expression configured for claims transformation for this application."
"50125","Sign-in was interrupted due to a password reset or password registration entry."
"50126","Error validating credentials due to invalid username or password."
"50127","Client app is a MAM app and device is not registered."
"50128","No tenant-identifying information found in either the request or implied by any provided credentials."
"50129","The device is not workplace joined. Workplace join is required to register the device."
"50130","The claim value(s) '{value}' cannot be interpreted as known auth method(s)."
"50131","Device is not in required device state: {state}. Or, the request was blocked due to suspicious activity, access policy, or security policy decisions."
"50132","The session is not valid due the following reasons: password expiration or recent password change, SSO Artifact is invalid or expired, session is not fresh enough for application, or a silent sign-in request was sent but the user's session with Azure AD is invalid or has expired."
"50133","The session is not valid due to password expiration or recent password change."
"50134","Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow, the authorizing party must be in the same data center where the original request resides."
"50135","Password change is required due to account risk."
"50136","Single MSA session detected when requesting an MSA ticket."
"50137","Password needs to be changed due to security policy rule."
"50138","Invalid encryption key environment."
"50139","Session is invalid due to missing an external refresh token."
"50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in."
"50141","Protected key is not intended for the authenticated user."
"50142","Password change is required due to a conditional access policy."
"50143","Session mismatch. The session is invalid because user tenant does not match the domain hint."
"50144","The user's Active Directory password has expired."
"50146","This application is required to be configured with an application-specific signing key. It is either not configured with one, or the key has expired or is not yet valid."
"50147","Invalid size of the code challenge parameter."
"50148","The code_verifier does not match the code_challenge supplied in the authorization request for PKCE."
"50149","Invalid Code_Challenge_method parameter."
"50150","The provided credentials does not have a valid user consent approval information."
"50155","Device authentication failed."
"50156","Device tokens are not supported for V2 resource."
"50157","User redirection required for routing."
"50158","External security challenge not satisfied. User will be redirected to another page or authentication provider to satisfy additional authentication challenges."
"50159","Claims sent by external provider are not enough."
"50160","Different target tenant is preferred."
"50161","Failed to validate authorization url of external claims provider."
"50168","The client is capable of utilizing the Windows 10 Accounts extension to perform SSO but no SSO token was found in the request or the token was expired. Request has been interrupted to attempt to pull an SSO token."
"50169","The realm '{realm}' is not a configured realm of the current service namespace."
"50170","The external controls mapping is missing."
"50172","External claims provider {provider} is not approved."
"50173","The provided grant has expired due to it being revoked, a fresh auth token is needed. The user might have changed or reset their password. The grant was issued on '{authTime}' and the TokensValidFrom date (before which tokens are not valid) for this user is '{validDate}'."
"50176","Missing definition of external control: {controlId}."
"50177","User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50178","User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50179","Client_info is not supported for this user."
"50180","Integrated Windows Authentication is needed. Enable the tenant '{name}' for Seamless SSO."
"50181","Unable to validate the otp."
"50182","OTP is already expired."
"50183","Cannot lookup otp due to cache error."
"50184","OTP is incorrect, or no cache entry exists for the tenant/user."
"50185","Email OTP notification delivery failed."
"50186","Unpermitted realm."
"50187","Failed to perform device authentication."
"50189","The device code is not correctly formatted."
"50190","Region prefix to connection string mapping returned from settings is null."
"50192","Invalid request."
"50193","Internal use"
"50194","Application '{appId}'({appName}) is not configured as a multi-tenant application. Usage of the /common endpoint is not supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multi-tenant."
"50196","The server terminated an operation because it encountered a client request loop. Please contact your app vendor."
"50197","Sorry, we could not find the user, please sign-in again."
"50199","For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction."
"50200","Unpermitted external trusted realm."
"50201","This message prompt interrupt will be shown to the user during login when additional information should be provided to user."
"50202","User is not registered in the organization and must explicitly consent to the sign-in."
"50203","User has not registered the authenticator app and must register or snooze this notification."
"50204","External user has not consented to the privacy statement."
"50205","External user has consented to the privacy statement."
"50206","The user or administrator has not consented connecting to the target-device: '{identifier}'. Send an interactive authorization request for this user and target-machine."
"50207","This web native bridge interrupt will be shown to the user during login when the application is requesting login through the native broker and needs eSTS to ensure the broker is properly configured."
"50208","This web native bridge interrupt was shown, but the native bridge unexpectedly returned a different user."
"50209","User is performing a password reset."
"53000","Device is not in required device state: {state}. Conditional Access policy requires a compliant device, and the device is not compliant. The user must enroll their device with an approved MDM provider like Intune."
"53001","Device is not in required device state: {state}. Conditional Access policy requires a domain joined device, and the device is not domain joined."
"53002","Device is not in required device state: {state}. The app used is not an approved app for Conditional Access."
"53003","Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"53004","Cannot configure multi-factor authentication methods due to suspicious activity."
"53005","Application needs to enforce Intune protection policies."
"53006","Authentication required from federated idP."
"53007","Authentication required from federated IDP."
"53008","Browser not supported."
"53009","Application needs to enforce Intune protection policies."
"53010","Cannot configure multi-factor authentication methods because the organization requires this information to be set from specific locations or devices."
"53011","User blocked due to risk on home tenant."
"54000","User is not allowed to access application {appName} due to Legal Age Group Requirement of application {audience}."
"54005","OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token."
"54006","Unencrypted v2 access tokens are not supported for first party applications that support consumer accounts. The resource must add a certificate to the onboarding portal to encrypt tokens."
"54007","Method not supported for IDP OAuth2 Federation."
"54008","Multi-Factor authentication is required and the credential used ({credentialName}) is not supported as a First Factor. Contact your administrator for more information."
"54009","Multi-Factor authentication is required and the credential used is not supported. Contact your administrator for more information."
"54010","Proofup blocked due to credential used not supported. Contact your administrator for more information."
